,title,author,abstract,publication_year,doi,key,label_included,search,record_id
10,30 YEARS OF THE MINERALOCORTICOID RECEPTOR: Mineralocorticoid receptor mutations,"Zennaro, M. C.; Fernandes-Rosa, F.","Aldosterone and the mineralocorticoid receptor (MR) are key elements for maintaining fluid and electrolyte homeostasis as well as regulation of blood pressure. Loss-of-function mutations of the MR are responsible for renal pseudohypoaldosteronism type 1 (PHA1), a rare disease of mineralocorticoid resistance presenting in the newborn with weight loss, failure to thrive, vomiting and dehydration, associated with hyperkalemia and metabolic acidosis, despite extremely elevated levels of plasma renin and aldosterone. In contrast, a MR gain-of-function mutation has been associated with a familial form of inherited mineralocorticoid hypertension exacerbated by pregnancy. In addition to rare variants, frequent functional single nucleotide polymorphisms of the MR are associated with salt sensitivity, blood pressure, stress response and depression in the general population. This review will summarize our knowledge on MR mutations in PHA1, reporting our experience on the genetic diagnosis in a large number of patients performed in the last 10 years at a national reference center for the disease. We will also discuss the influence of rare MR variants on blood pressure and salt sensitivity as well as on stress and cognitive functions in the general population.",2017.0,10.1530/joe-17-0089,LLVR57SP,0,additional,11
11,Augmenting serotonin reuptake inhibitors in obsessive-compulsive disorder: What moderates improvement?,"Wheaton, Michael G.; Rosenfield, David; Foa, Edna B.; Simpson, H. Blair; http://orcid.org/Wheaton","Objective: Patients with obsessive-compulsive disorder (OCD) often only partially respond to serotonin reuptake inhibitors (SRIs). In such cases, American Psychiatric Association practice guidelines suggest augmenting SRIs with cognitive-behavioral therapy consisting of exposure and ritual prevention (EX/RP) or antipsychotic medication (i.e., risperidone). We examined moderators and predictors of these 2 augmentation strategies. Method: Data came from a randomized controlled trial that compared adding EX/RP or risperidone to SRIs in adults with OCD. Patients entered the study on a stable SRI dosage and were randomized to EX/RP (N = 40), risperidone (N = 40), or placebo (N = 20). Data were analyzed using multilevel modeling. Results: Pretreatment OCD severity, age, and depression were significant moderators. Although OCD severity was unrelated to EX/RP response, individuals with more severe OCD had poorer outcomes and slower improvement with risperidone. Increasing age predicted better response to risperidone, but not EX/RP. Increased depression predicted poorer response to placebo, but not EX/RP or risperidone. Poorer functioning predicted worse outcome across all 3 conditions. Together, these moderators and predictor accounted for 33 \% of the variance in outcomes, above and beyond the 30.8 \% accounted for by treatment condition. Conclusions: SRI augmentation with EX/RP was more effective than risperidone across all of the demographic and clinical variables tested. EX/RP's superiority over risperidone increased with baseline OCD severity and with younger age. These data indicate that EX/RP should be the recommended SRI augmentation strategy, even for severe OCD. What determines the degree of EX/RP response in individual patients deserves further study. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (journal abstract)",,,4TG22TF7,0,behavior,12
12,Using personal scalings on life event inventories to predict dysphoria,"Zimmerman, M.","The predictive ability of subjective weights of life events was examined. The focus of this study was the event 'doing very poorly on an important exam'. Two days before taking their midterm in an introductory psychology class, 164 students rated 120 life events as to the degree of negative impact on their life they believed the event did have (if it previously occurred) or would have (if it had not occurred). The subjects also filled out the Depressive Adjective Checklist (DACL) and the Beck Depression Inventory (BDI). One week later, on the day the grades were returned to the students, the second testing session was held. One hundred thirty-two subjects returned to again complete the two measures of depression. Thirty-three of the students were identified as having experienced the event. The results of a hierarchical multiple regression showed that the subjective rating of negative impact was a significant predictor of post-exam DACL scores but not post-exam BDI scores. Previous experience with the event was not associated with either post-exam depression measure. It is suggested that the perception of life events is an important variable in life event research and that subjective weights can be utilized as markers of individuals who are vulnerable to the effects of stress.",1983.0,,A2KPI7X8,0,diathesis,13
13,Chronic psychological effects of exercise and exercise plus cognitive strategies,"Brown, D. R.; Wang, Y.; Ward, A.; Ebbeling, C. B.; Fortlage, L.; Puleo, E.; Benson, H.; Rippe, J. M.","Psychological changes associated with 16-wk moderate and low intensity exercise training programs, two of which possessed a cognitive component, were evaluated. Subjects were healthy, sedentary adults, 69 women (mean age = 54.8 ± 8.3 yr) and 66 men (mean age = 50.6 ± 8.0 yr). Participants were randomly assigned to a control group (C), moderate intensity walking group (MW), low intensity walking group (LW), low intensity walking plus relaxation response group (LWR), or mindful exercise (ME) group-a Tai Chi type program. Women in the ME group experienced reductions in mood disturbance (tension, P \ \textless \ 0.01; depression, P \ \textless \ 0.05; anger, P \ \textless \ 0.008; confusion, P \ \textless \ 0.02; and total mood disturbance, P \ \textless \ 0.006) and an improvement in general mood (P \ \textless \ 0.04). Women in the MW group noted greater satisfaction with physical attributes (body cathexis, P \ \textless \ 0.03), and men in MW reported increased positive affect (P \ \textless \ 0.006). No other differences were observed between groups on measures of mood, self-esteem, personality, or life satisfaction. Equivocal support is provided for the hypothesis that exercise plus cognitive strategy training programs are more effective than exercise programs lacking a structured cognitive component in promoting psychological benefits.",1995.0,,HBUYGL48,0,personality,14
14,Mindfulness-based cognitive therapy: A promising new approach to preventing depressive relapse.,"Williams, J. Mark G.; Kuyken, Willem","Mindfulness-based cognitive therapy (MBCT) was developed as a psychological approach for people at risk for depressive relapse who wish to learn how to stay well in the long-term. In this article we set out the rationale for MBCT, outline the treatment approach, overview the efficacy research to date and look to future challenges. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",,,NJ5TVXTF,0,cognitive,15
15,"Letting go of the bad: deficit in maintaining negative, but not positive, emotion in bipolar disorder.","Gruber, June; Purcell, Amanda L.; Perna, Michael J.; Mikels, Joseph A.","Bipolar disorder is a disorder of emotion regulation. Less is known, however, about the specific processes that foster the maintenance of such prolonged and intense emotions-particularly positive-over time in this disorder. We investigated group-related differences in the ability to maintain positive and negative emotion representations over time using a previously validated emotion working memory task (Mikels et al., 2005, 2008) among individuals with bipolar I disorder (BD; n = 29) compared with both major depressive disorder (MDD; n = 29) and healthy control (n = 30) groups. Results revealed that the BD group exhibited a selective deficit in maintaining negative-but not positive-emotions compared to both the MDD and the control groups. The MDD and control groups did not differ significantly. These findings suggest that the heightened magnitude and duration of positive emotion observed in BD may, in part, be accounted for by difficulties maintaining negative emotions.",2013.0,10.1037/a0029381,DCH82NKP,0,cognitive_additional,16
16,"Patient coordination style during the first session of therapy: Relationship with early alliance, patient's characteristics and outcomes","Beretta, V. and","In the past two decades, psychotherapy researchers and clinicians postulated that the therapeutic alliance is a key component in psychotherapy. Meta-analyses confirm this assumption and conclude that alliance is a powerful predictor of therapeutic outcome for various forms of treatments, problems and patients. In the literature, various measures of alliance are mentioned but not much is known about the behavioural correlates and the nature of this process. The coordination construct is a way to analyse the micro-process involved in the interactional process. Defined by Westerman and Foote (Psychotherapy 1995;32:222-32) as how well a patient relates his or her contributions in the exchange to the therapist's contributions and to the patient's own contributions at other points in time , the patient's coordination style (PCS) focuses on the complex interaction process and defensive pattern involved in the problematic patient's behaviour. Our hypothesis is that the coordination construct involves conversational collaboration needed to create a strong alliance. The aim of the study is to investigate this hypothesis by analysing the interaction between patient and therapist. Furthermore, the influence of patient's characteristic on patient's coordination style at the beginning of the therapy is explored. Moreover, in line with findings in the alliance literature, we expect to find a relationship between coordination style and therapeutic outcome. The data consisted in 60 self-referred outpatients with anxiety and depressive disorders (with/without cluser C personality disorders) that completed the Brief Psychodynamic Intervention in the Adult Psychiatry outpatient unit of the University of Lausanne (Switzerland). Coordination style was assessed at the first session by means of the coordination scales and alliance was measured by the Helping Alliance Questionnaire (Haq-I), patient's version administrated after each session of treatment. Patient's characteristics are measured in terms of global symptomatic distress (SCL-90), social adjustment (SAS), interpersonal problems (IIP) and overall level of defensive functioning (DMRS). Outcome of treatment consists of reduction in symptomatic distress (SCL-90, HAMA, HDRS) and positive evolution of social adjustment. As predicted, patient coordination style was closely related to the therapeutic alliance as assessed by the patient. Furthermore, patient's coordination style in the first session was a good predictor of the development of the alliance during early sessions of Brief Psychodynamic Intervention. Results showed that coordination was largely influenced by patient's characteristics. The global symptomatic distress, the level of social malad-justment and specific interpersonal problems (hostility and domineering) were correlated to a non-coordinated style. However, coordination was not related to outcome in Brief Psychodynamic Intervention. With regard to these results, the specific roles of therapist and patient in developing early alliance are discussed.",2004.0,,YMSFXLGY,0,personality,17
17,Predictors of psychological outcomes in nonheterosexual individuals.,"Sanders, Emily K.; Chalk, Holly McCartney","Gay, lesbian, bisexual, pansexual, and queer (GLBPQ) individuals have higher rates of negative psychological outcomes, but the reasons for these trends are unclear. Gay-related stress including internalized homophobia, perceived stigma, and overt discrimination may contribute to these heightened rates, but gay identity may buffer these consequences. GLBPQ individuals (N = 1,169) completed online surveys of gay-related stress, protective factors, and outcomes including depression, anxiety, stress, nonsuicidal self-injury, and suicidality. Hierarchical regressions were used to examine predictive relationships between gay-related stress, gay identity, and negative outcomes. Among gay/lesbian participants, overt discrimination predicted all outcomes; gay identity predicted Center for Epidemiologic Studies Depression Scale (CES-D) depression, Depression Anxiety Stress Scale (DASS) depression, and DASS stress; and internalized homophobia predicted Perceived Stress Scale (PSS) stress (p \textless .001). Among bisexual and pansexual participants, perceived stigma predicted CES-D depression, DASS depression, and Pereceived Stress Scale (PSS) stress, and overt discrimination predicted CES-D depression (p \textless .001). Gay identity predicted reduced negative outcomes among gay and lesbian people, but did not affect bisexual or pansexual people. Gay identity did not interact significantly with overt discrimination, perceived stigma, or internalized homophobia, challenging the hypothesis that it would buffer their effects. These results indicated that the factors may function differently in different populations, highlighting the need for further research on the topic. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",,,K2UMRZDQ,0,psychodynamic,18
18,"The effect of naltrexone on memory deficit followed by electroconvulsive therapy: a randomized, double-blind, placebo-controlled trial","Motazedian, S.; Noorbakhsh, S.; Shams, J.; Jafari, R.; Faghihimohamadi, M.; Zahiroddin, A.","Background: Electroconvulsive therapy (ECT) is famously known as a treatment for depression; however, memory impairments have always been a point of concern. The use of opioid antagonists may protect against the development of memory deficits after ECT. The current study aimed at assessing the effect of Naltrexone in diminishing memory impairments. Methods: This randomized, double‐blinded, placebo‐controlled clinical trial took place at Imam Hossein hospital of Tehran/Iran. Patients diagnosed withMDD, were assigned to either Naltrexone or placebo and received 6 sessions of ECT within 2 weeks.Wechsler Memory Scale was performed the day before the first session of ECT, as well as 2 weeks, 1 and 3 months after finishing the 6th session. The Hamilton depression rating scale was performed 2 times to examine the possible interference caused by depression or to relapse as a confounding variable. Results: Patients receiving Naltrexone and placebo showed no significant difference in WMS scores. However, after further assessment, changes of WMS scores in every round were compared; the results showed that after 2 weeks from baseline, the amount of the reduction of total WMS scores from baseline was significantly lower in the Naltrexone group (P = 0.04). Conclusions: This study suggests that Naltrexone as compared to placebo has no advantageous effect on attenuating memory deficits in the long term. It is a smaller degree of memory decline that makes Naltrexone superior to placebo. Copyright © 2017, Iranian Red Crescent Medical Journal.",2017.0,10.5812/ircmj.59814,UT4PIB5B,0,additional,19
19,"Effect of calorie restriction on mood, quality of life, sleep, and sexual function in healthy nonobese adults the CALERIE 2 randomized clinical trial","Ck, Martin; M, Bhapkar; Ag, Pittas; Cf, Pieper; Sk, Das; Da, Williamson; T, Scott Stewart; Lm, Redman; R, Stein; Ch, Gilhooly; T, Scott Stewart; L, Robinson; Sb, Roberts; Martin, C. K.; Bhapkar, M.; Pittas, A. G.; Pieper, C. F.; Das, S. K.; Williamson, D. A.; Scott, T.; Redman, L. M.; Stein, R.; Gilhooly, C. H.; Stewart, T.; Robinson, L.; Roberts, S. B.","IMPORTANCE Calorie restriction (CR) increases longevity in many species and reduces risk factors for chronic diseases. In humans, CR may improve health span, yet concerns remain about potential negative effects of CR. OBJECTIVE To test the effect of CR on mood, quality of life (QOL), sleep, and sexual function in healthy nonobese adults. DESIGN, SETTING, AND PARTICIPANTS A multisite randomized clinical trial (Comprehensive Assessment of Long-term Effects of Reducing Intake of Energy Phase 2 [CALERIE 2]) was conducted at 3 academic research institutions. Adult men and women (N = 220) with body mass index (BMI; calculated as weight in kilograms divided by height in meters squared) of 22.0 to 28.0 were randomized to 2 years of 25 \% CR or an ad libitum (AL) control group in a 2:1 ratio favoring CR. Data were collected at baseline, 12 months, and 24 months and examined using intent-to-treat analysis. The study was conducted from January 22, 2007, to March 6, 2012. Data analysis was performed from July 18, 2012, to October 27, 2015. INTERVENTIONS Two years of 25 \% CR or AL. MAIN OUTCOMES AND MEASURES Self-report questionnaireswere administered to measure mood (Beck Depression Inventory-II [BDI-II], score range 0-63, higher scores indicatingworse mood, and Profile of Mood States [POMS], with a total mood disturbance score range of -32 to 200 and higher scores indicating higher levels of the constructs measured), QOL (Rand 36-Item Short Form, score range 0-100, higher scores reflecting better QOL, and Perceived Stress Scale, score range 0-40, higher scores indicating higher levels of stress), sleep (Pittsburgh Sleep Quality Index [PSQI], total score range 0-21, higher scores reflectingworse sleep quality), and sexual function (Derogatis Interview for Sexual Function-Self-report, total score range 24-188, higher scores indicating better sexual functioning). RESULTS In all, 218 participants (152women [69.7 \% ]; mean [SD] age, 37.9 (7.2) years; mean [SD] BMI, 25.1 [1.6])were included in the analyses. The CR and AL groups lost a mean (SE) of 7.6 (0.3) kg and 0.4 (0.5) kg, respectively, at month 24 (P \textless .001). Compared with the AL group, the CR group had significantly improved mood (BDI-II: between-group difference [BGD], -0.76; 95 \% CI, -1.41 to -0.11; effect size [ES], -0.35), reduced tension (POMS: BGD, -0.79; 95 \% CI, -1.38 to -0.19; ES, -0.39), and improved general health (BGD, 6.45; 95 \% CI, 3.93 to 8.98; ES, 0.75) and sexual drive and relationship (BGD, 1.06; 95 \% CI, 0.11 to 2.01; ES, 0.35) at month 24 as well as improved sleep duration at month 12 (BGD, -0.26; 95 \% CI, -0.49 to -0.02; ES, -0.32) (all P \textless .05). Greater percentweight loss in the CR group at month 24was associated with increased vigor (Spearman correlation coefficient, $\rho$ = -0.30) and less mood disturbance ($\rho$ = 0.27) measured with the POMS, improved general health ($\rho$ = -0.27) measured with the SF-36, and better sleep quality per the PSQI total score ($\rho$ = 0.28) (all P \textless .01). CONCLUSIONS AND RELEVANCE In nonobese adults, CR had some positive effects and no negative effects on health-related QOL.",2016.0,10.1001/jamainternmed.2016.1189,BUDU8NUE,0,cognitive_additional,20
20,"Comparative bone status assessment by dual energy X-ray absorptiometry, peripheral quantitative computed tomography and quantitative ultrasound in adolescents and young adults with cystic fibrosis.",,"PURPOSE: Quantitative ultrasound bone sonometry (QUS) might be a promising screening method for cystic fibrosis (CF)-related bone disease, given its absence of radiation exposure, portability of the equipment and low cost.The value of axial transmission forearm QUS in detecting osteopenia in CF was therefore studied. METHODS: We investigated the application of QUS in the evaluation of bone status in a group of 64 adolescents ( \textgreater 12 years) and young adults ( \textless 40 years) with CF in a comparison with a dual X-ray absorptiometry (DXA) of the whole body and peripheral quantitative computed tomography (pQCT) of the radius at 4 \% and 66 \% sites. RESULTS: Mean (SD) Z-scores of speed of sound (SOS), whole body bone mineral content (BMC), radial trabecular bone mineral density (BMD), and radial cortical BMD were respectively -0.31 (0.78), -0.09 (1.28), 0.10 (1.16) and -0.62 (2.88). The pQCT determined bone geometry values (cortical bone area and cortical thickness) were more depressed than the BMD data. QUS had a sensitivity and specificity of respectively 0 \% and 96 \% for diagnosing osteopenia (based on a whole body BMC Z-score \textless -2). CONCLUSIONS: QUS cannot replace DXA, but can screen out patients with normal bone mass. Further and larger studies are needed to examine if QUS may reflect other aspects than bone mass, or if it is possible to improve its sensitivity by supplementing the SOS results with clinical risk factors.",2012.0,10.1016/j.jcf.2011.10.004,HP3BNGMB,0,cognitive_additional,21
21,A polymorphism in the dopamine beta-hydroxylase gene is associated with paranoid ideation in patients with major depression.,"Wood, Jordan G.; Joyce, Peter R.; Miller, Allison L.; Mulder, Roger T.; Kennedy, Martin A.","BACKGROUND: Increased dopaminergic activity may play a primary role in psychotic depression. Dopamine beta-hydroxylase (DbetaH) catalyses the key step in biosynthesis of the neurotransmitter noradrenaline from dopamine, and low DbetaH activity is a possible risk factor for developing psychotic depression. An exon 2 polymorphism (DBH*444 g/a) of the DbetaH gene (DBH) is significantly associated with both serum and cerebrospinal fluid levels of DbetaH. METHODS: We determined the genotype of the DBH*444g/a polymorphism in a cohort of 164 patients with major depression and examined the association of this polymorphism with paranoid ideation, interpersonal sensitivity, and psychoticism on the Hopkins Symptom Checklist. RESULTS: Patients who possessed the A allele were significantly more likely to have higher scores for interpersonal sensitivity and paranoia than patients without the A allele (p =.004 and p =.048, respectively), suggesting that this allele may predispose patients to paranoia in major depression. In addition, we found an association between prolactin levels in men and DBH*444 g/a genotype such that homozygous G individuals displayed significantly higher levels than homozygous A or heterozygote individuals. CONCLUSIONS: Depressed patients with the GG genotype of DbetaH have lower scores for interpersonal sensitivity and paranoid ideation. The GG genotype may be protective against the development of psychosis in the presence of a major depressive episode.",2002.0,,EVTJ2QHA,0,personality,22
22,Experimental manipulation of affective judgments about physical activity: a systematic review and meta-analysis of adults,"Rhodes, R. E.; Gray, S. M.; Husband, C.","The purpose of this meta-analysis was to examine the current effectiveness of physical activity (PA) interventions to change affective judgements (AJ) and subsequent behaviour and explore potential moderators. Eligible studies were published in a peer-reviewed English journal and included an experimental design in the PA domain with a measure of AJ as the dependent variable, among adults (>17 years). Literature searches concluded in July 2017 using 11 common databases, with additional hand searching conducted in February 2018. The search yielded 32 independent studies. Random-effects meta-analysis showed positive changes in AJ favouring intervention over control groups, g = 0.43 (95% CI = 0.26-0.60). These changes predicted (beta = 0.64) positive changes in PA, g = 0.38 (95% CI = 0.16-0.60), among a sub-sample (k = 14) of studies that also provided behavioural data. Moderator analyses showed the effects were inflated by potential publication bias, participant gender, baseline PA and focus of the intervention. AJ may show change from intervention but larger sample studies are required to obtain a more reliable effect size estimate. Further, few studies have employed behaviour change techniques that would align with the theoretical reasons for changes in AJ, so our evidence for practical intervention content is limited.",2018.0,10.1080/17437199.2018.1530067,HZHZAAVR,0,additional,23
