,record_id,title,abstract,label_included,label_abstract_screening,duplicate_record_id
10,11,Hospital clinicians’ responsiveness to assay cost feedback: a prospective blinded controlled intervention study.,,1,1,
11,12,Use of a computer to detect and respond to clinical events: its effect on clinician behavior.,"A computer was used to prospectively detect and suggest responses to simple, medication-related events as reflected in a computerized record in a prospective, randomized study of a diabetes clinic with primary-care responsibility. There were two categories of event/suggestions: when the last observation of a test required for medication control was too old, the computer suggested a repeat""; and when an abnormality with therapeutic implications was detected, the computer suggested a specific change in therapeutics. Clinicians responded to 36% of events in the first category with computer reminders and 11% without (P < 0.0001);"" they responded to 28% of events in the second category with computer assistance and 13% without (P < 0.026). For the most clinically significant of these second category events, the difference was even greater: 47% with and 4% without computer assistance (P < 0.0004). I believe that computer detection and response (in the form of reminders) to simple clinical events will change clinician behavior.",1,1,
12,13,Impact of environmental olfactory cues on hand hygiene behaviour in a simulated hospital environment: a randomized study,"This study investigated the impact of a fresh scent on the rate of hand hygiene compliance (HHC) among novice healthcare providers. In all, 165 participants examined a standardized patient with one sample exposed to fresh scent (N = 79) and the other exposed to the standard environment (N = 86). Hand hygiene behaviours were tracked before patient contact using video surveillance. The standard environment group had an HHC rate of 51% whereas participants in the fresh scent group had a higher HHC rate of 80% (P < 0.001). These data demonstrate that hand hygiene behaviour may be subconsciously influenced by cues in the environment.",1,1,
13,14,Primary care guidelines on consultation practices: the effectiveness of computerized versus paperbased versions. A cluster randomized controlled trial among newly qualified primary care physicians.,"Objective: To compare the effects of computerized and paper-based versions of guidelines on recently qualified physicians' consultation practices.  Methods: Two arm cluster randomized controlled trial. Physicians were randomized to receive computerized or textbook-based versions of the same guidelines for a 4-week study period. Physicians' compliance with guideline recommendations about laboratory, radiological, physical and other examinations, procedures, nonpharmacologic and pharmacologic treatments, physiotherapy, and referrals were measured by case note review.  Results: There were 139 recently qualified physicians working in 96 primary healthcare centers in Finland who participated in the study. Data on 4,633 patient encounters were abstracted, of which 3,484 were suitable for further analysis. Physicians' compliance with guidelines was high (over 80% for use of laboratory, radiology, physical examinations, and referrals). There were no significant differences in physicians' consultation practices in any of the measured outcomes between the computerized and textbook group.  Conclusion: Guidelines are a useful source of information for recently qualified physicians working in primary care. However, the method of presentation of the guidelines (electronic or paper) does not have an effect on guideline use or their impact on decisions. Other factors should be considered when choosing the method of presentation of guidelines, such as information-seeking time, ease of use during the consultation, ability to update, production costs, and the physicians' own preferences.",1,1,
14,15,Electronic alerts versus on-demand decision support to improve dyslipidemia treatment: a cluster randomized controlled trial,"BACKGROUND: Indirect evidence shows that alerting users with clinical decision support systems seems to change behavior more than requiring users to actively initiate the system. However, randomized trials comparing these methods in a clinical setting are lacking. We studied the effect of both alerting and on-demand decision support with respect to screening and treatment of dyslipidemia based on the guidelines of the Dutch College of General Practitioners. METHODS AND RESULTS: In a clustered randomized trial design, 38 Dutch general practices (77 physicians) and 87,886 of their patients (39,433 men 18 to 70 years of age and 48,453 women 18 to 75 years of age) who used the ELIAS electronic health record participated. Each practice was assigned to receive alerts, on-demand support, or no intervention. We measured the percentage of patients screened and treated after 12 months of follow-up. In the alerting group, 65% of the patients requiring screening were screened (relative risk versus control=1.76""; 95% confidence interval, 1.41 to 2.20) compared with 35% of patients in the on-demand group (relative risk versus control=1.28; 95% confidence interval, 0.98 to 1.68) and 25% of patients in the control group. In the alerting group, 66% of patients requiring treatment were treated (relative risk versus control=1.40; 95% confidence interval, 1.15 to 1.70) compared with 40% of patients (relative risk versus control=1.19;"" 95% confidence interval, 0.94 to 1.50) in the on-demand group and 36% of patients in the control group. CONCLUSIONS: The alerting version of the clinical decision support systems significantly improved screening and treatment performance for dyslipidemia by general practitioners.",1,1,
15,16,Randomized clinical trial of a customized electronic alert requiring an affirmative response compared to a control group receiving a commercial passive CPOE alert: NSAID—warfarin co-prescribing as a test case.,"Background Studies that have looked at the effectiveness of computerized decision support systems to prevent drug–drug interactions have reported modest results because of low response by the providers to the automated alerts.  Objective To evaluate, within an inpatient computerized physician order entry (CPOE) system, the incremental effectiveness of an alert that required a response from the provider, intended as a stronger intervention to prevent concurrent orders of warfarin and non-steroidal anti-inflammatory drugs (NSAIDs).  Design Randomized clinical trial of 1963 clinicians assigned to either an intervention group receiving a customized electronic alert requiring affirmative response or a control group receiving a commercially available passive alert as part of the CPOE. The study duration was 2 August 2006 to 15 December 2007.  Measurements Alert adherence was compared between study groups.  Results The proportion of desired ordering responses (ie, not reordering the alert-triggering drug after firing) was lower in the intervention group (114/464 (25%) customized alerts issued) than in the control group (154/560 (28%) passive alerts firing). The adjusted OR of inappropriate ordering was 1.22 (95% CI 0.69 to 2.16).  Conclusion A customized CPOE alert that required a provider response had no effect in reducing concomitant prescribing of NSAIDs and warfarin beyond that of the commercially available passive alert received by the control group. New CPOE alerts cannot be assumed to be effective in improving prescribing, and need evaluation.",1,1,
16,17,A randomized trial of a computer-based intervention to reduce utilization of redundant laboratory tests,"PURPOSE: To determine the impact of giving physicians computerized reminders about apparently redundant clinical laboratory tests.  SUBJECTS AND METHODS: We performed a prospective randomized controlled trial that included all inpatients at a large teaching hospital during a 15-week period. The intervention consisted of computerized reminders at the time a test was ordered that appeared to be redundant. Main outcome measures were the proportions of clinical laboratory orders that were canceled and the proportion of the tests that were actually performed.  RESULTS: During the study period, there were 939 apparently redundant laboratory tests among the 77,609 study tests that were ordered among the intervention (n = 5,700 patients) and control (n = 5,886 patients) groups. In the intervention group, 69% (300 of 437) of tests were canceled in response to reminders. Of 137 overrides, 41% appeared to be justified based on chart review. In the control group, 51% of ordered redundant tests were performed, whereas in the intervention group only 27% of ordered redundant tests were performed (P <0.001). However, the estimated annual savings in laboratory charges was only $35,000. This occurred because only 44% of redundant tests performed had computer orders, because only half the computer orders were screened for redundancy, and because almost one-third of the reminders were overridden.  CONCLUSIONS: Reminders about orders for apparently redundant laboratory tests were effective when delivered. However, the overall effect was limited because many tests were performed without corresponding computer orders, and many orders were not screened for redundancy.",1,1,
17,18,Patient and physician reminders to promote colorectal cancer screening: a randomized controlled trial.,"Background  Screening reduces colorectal cancer mortality, but effective screening tests remain underused. Systematic reminders to patients and physicians could increase screening rates  Methods  We conducted a randomized controlled trial of patient and physician reminders in 11 ambulatory health care centers. Participants included 21 860 patients aged 50 to 80 years who were overdue for colorectal cancer screening and 110 primary care physicians. Patients were randomly assigned to receive mailings containing an educational pamphlet, fecal occult blood test kit, and instructions for direct scheduling of flexible sigmoidoscopy or colonoscopy. Physicians were randomly assigned to receive electronic reminders during office visits with patients overdue for screening. The primary outcome was receipt of fecal occult blood testing, flexible sigmoidoscopy, or colonoscopy over 15 months, and the secondary outcome was detection of colorectal adenomas.  Results  Screening rates were higher for patients who received mailings compared with those who did not (44.0% vs 38.1%""; P < .001). The effect increased with age: +3.7% for ages 50 to 59 years; +7.3% for ages 60 to 69 years; and +10.1% for ages 70 to 80 years (P = .01 for trend). Screening rates were similar among patients of physicians receiving electronic reminders and the control group (41.9% vs 40.2%; P = .47). However, electronic reminders tended to increase screening rates among patients with 3 or more primary care visits (59.5% vs 52.7%; P = .07). Detection of adenomas tended to increase with patient mailings (5.7% vs 5.2%; P = .10) and physician reminders (6.0% vs 4.9%;"" P = .09).  Conclusions  Mailed reminders to patients are an effective tool to promote colorectal cancer screening, and electronic reminders to physicians may increase screening among adults who have more frequent primary care visits.",1,1,
18,19,Design factors for success or failure of guideline-based decision support systems: an hypothesis involving case complexity,"Computer-based decision support systems (CDSSs) are currently mostly reminder systems. However, the effectiveness of such systems to modify physician behavior is not always observed. We assume that this approach is appropriate when physicians think they know how to prescribe and consider they don't need to be helped, i.e. for simple clinical cases. On the opposite, on-demand approaches allowing for flexibility in the interpretation of patient conditions are more appropriate for more complex cases, e.g. in chronic disease management. ASTI is a CDSS operating in two modes, a critiquing mode working as a reminder-based system and a user-initiated guiding mode. Using a clinical case complexity score, a pre/post-intervention experiment with 10 GPs and 15 cases of hypertensive patients has been performed. Preliminary results tend to indicate that reminder-based interaction is appropriate for simple cases and that physicians are willing to use on-demand systems as clinical situations become complex, making both modes complementary.",1,1,
19,20,Assessment of decision support for blood test ordering in primary care. a randomized trial,"BACKGROUND: Different methods for changing blood test-ordering behavior in primary care have been proven effective. However, randomized trials comparing these methods are lacking. OBJECTIVE: To compare the effect of two versions of BloodLink, a computer-based clinical decision support system, on blood test ordering among general practitioners. DESIGN: Randomized trial. SETTING: 44 practices of general practitioners in the region of Delft, the Netherlands. PARTICIPANTS: 60 general practitioners in 44 practices who used computer-based patient records in their practices. INTERVENTION: After stratification by solo practices and group practices, practices were randomly assigned to use BloodLink-Restricted, which initially displays a reduced list of tests, or BloodLink-Guideline, which is based on the guidelines of the Dutch College of General Practitioners. MEASUREMENTS: Average number of blood tests ordered per order form per practice. RESULTS: General practitioners who used BloodLink-Guideline requested 20% fewer tests on average than did practitioners who used BloodLink-Restricted (mean [+/-SD], 5.5 +/- 0.9 tests vs. 6.9 +/- 1.6 tests, respectively"";"" P = 0.003, Mann-Whitney test). CONCLUSIONS: Decision support based on guidelines is more effective in changing blood test-ordering behavior than is decision support based on initially displaying a limited number of tests. Guideline-driven decision support systems can be effective in reducing the number of laboratory tests ordered by primary care practitioners.",1,1,
20,21,Using implementation intentions to teach practitioners: changing practice behaviours via continuing education.,"Objective: This study evaluated the effectiveness of implementation intentions on increasing the use of a practice behavior among mental health practitioners who attended a one-day continuing education class. Methods: Seventy-eight practitioners were randomly assigned to one of two classes on psychiatric advance directives. One class incorporated instruction in implementation intentions (N=40) and the other class did not (N=38). Implementation intention training involved having the participants describe the best time and place to use a practitioner-guided procedure to assist consumers to complete a psychiatric advance directive. Use of the practitioner-guided procedure was the dependent variable in this study. Use of the procedure in practice was assessed three months after the class via an electronic self-report survey. Results: There were no statistically significant differences between the two class conditions in participant characteristics or preclass or postclass knowledge of and intentions to use the procedure. Fifty-four participants (69%) responded to the three-month follow-up survey, indicating that they had used the practitioner-guided procedure. The results of the follow-up survey showed that overall those attending the class that incorporated implementation intentions used the practitioner-guided procedure significantly more often than those in the other class (80% versus 58%). The effect of implementation intentions on utilization of the practitioner-guided procedure was evident among practitioners whose postclass intentions were high but below the median for the overall sample (?2=7.1, df=1, p<.01). Implementation rates among practitioners with the highest post-class intentions were equivalent in the two class conditions. Conclusions: Incorporating implementation intentions into continuing education classes can increase the use of practices taught in these classes among well-motivated practitioners. (Psychiatric Services 59:747–752, 2008)",1,1,
21,22,"A randomized trial of ""corollary orders"" to prevent errors of omission.","Objective: Errors of omission are a common cause of systems failures. Physicians often fail to order tests or treatments needed to monitor/ameliorate the effects of other tests or treatments. The authors hypothesized that automated, guideline-based reminders to physicians, provided as they wrote orders, could reduce these omissions.  Design: The study was performed on the inpatient general medicine ward of a public teaching hospital. Faculty and housestaff from the Indiana University School of Medicine, who used computer workstations to write orders, were randomized to intervention and control groups. As intervention physicians wrote orders for 1 of 87 selected tests or treatments, the computer suggested corollary orders needed to detect or ameliorate adverse reactions to the trigger orders. The physicians could accept or reject these suggestions.  Results: During the 6-month trial, reminders about corollary orders were presented to 48 intervention physicians and withheld from 41 control physicians. Intervention physicians ordered the suggested corollary orders in 46.3% of instances when they received a reminder, compared with 21.9% compliance by control physicians (p < 0.0001). Physicians discriminated in their acceptance of suggested orders, readily accepting some while rejecting others. There were one third fewer interventions initiated by pharmacists with physicians in the intervention than control groups.  Conclusion: This study demonstrates that physician workstations, linked to a comprehensive electronic medical record, can be an efficient means for decreasing errors of omissions and improving adherence to practice guidelines.",1,1,
22,23,Cost-effectiveness of Practice-Initiated Quality Improvement for Depression,"Context Depression is a leading cause of disability worldwide, but treatment rates in primary care are low.  Objective To determine the cost-effectiveness from a societal perspective of 2 quality improvement (QI) interventions to improve treatment of depression in primary care and their effects on patient employment.  Design Group-level randomized controlled trial conducted June 1996 to July 1999.  Setting Forty-six primary care clinics in 6 community-based managed care organizations.  Participants One hundred eighty-one primary care clinicians and 1356 patients with positive screening results for current depression.  Interventions Matched practices were randomly assigned to provide usual care (n = 443 patients) or to 1 of 2 QI interventions offering training to practice leaders and nurses, enhanced educational and assessment resources, and either nurses for medication follow-up (QI-meds""; n = 424 patients) or trained local psychotherapists (QI-therapy; n = 489). Practices could flexibly implement the interventions, which did not assign type of treatment.  Main Outcome Measures Total health care costs, costs per quality-adjusted life-year (QALY), days with depression burden, and employment over 24 months, compared between usual care and the 2 interventions.  Results Relative to usual care, average health care costs increased $419 (11%) in QI-meds (P = .35) and $485 (13%) in QI-therapy (P = .28); estimated costs per QALY gained were between $15 331 and $36 467 for QI-meds and $9478 and $21 478 for QI-therapy;"" and patients had 25 (P = .19) and 47 (P = .01) fewer days with depression burden and were employed 17.9 (P = .07) and 20.9 (P = .03) more days during the study period.  Conclusions Societal cost-effectiveness of practice-initiated QI efforts for depression is comparable with that of accepted medical interventions. The intervention effects on employment may be of particular interest to employers and other stakeholders.",0,0,
