record_id,Unnamed: 0,title,abstract,label_included,label_abstract_screening,duplicate_record_id,atd
22,21,"A randomized trial of ""corollary orders"" to prevent errors of omission.","Objective: Errors of omission are a common cause of systems failures. Physicians often fail to order tests or treatments needed to monitor/ameliorate the effects of other tests or treatments. The authors hypothesized that automated, guideline-based reminders to physicians, provided as they wrote orders, could reduce these omissions.  Design: The study was performed on the inpatient general medicine ward of a public teaching hospital. Faculty and housestaff from the Indiana University School of Medicine, who used computer workstations to write orders, were randomized to intervention and control groups. As intervention physicians wrote orders for 1 of 87 selected tests or treatments, the computer suggested corollary orders needed to detect or ameliorate adverse reactions to the trigger orders. The physicians could accept or reject these suggestions.  Results: During the 6-month trial, reminders about corollary orders were presented to 48 intervention physicians and withheld from 41 control physicians. Intervention physicians ordered the suggested corollary orders in 46.3% of instances when they received a reminder, compared with 21.9% compliance by control physicians (p < 0.0001). Physicians discriminated in their acceptance of suggested orders, readily accepting some while rejecting others. There were one third fewer interventions initiated by pharmacists with physicians in the intervention than control groups.  Conclusion: This study demonstrates that physician workstations, linked to a comprehensive electronic medical record, can be an efficient means for decreasing errors of omissions and improving adherence to practice guidelines.",1,1,,82.0
14,13,Primary care guidelines on consultation practices: the effectiveness of computerized versus paperbased versions. A cluster randomized controlled trial among newly qualified primary care physicians.,"Objective: To compare the effects of computerized and paper-based versions of guidelines on recently qualified physicians' consultation practices.  Methods: Two arm cluster randomized controlled trial. Physicians were randomized to receive computerized or textbook-based versions of the same guidelines for a 4-week study period. Physicians' compliance with guideline recommendations about laboratory, radiological, physical and other examinations, procedures, nonpharmacologic and pharmacologic treatments, physiotherapy, and referrals were measured by case note review.  Results: There were 139 recently qualified physicians working in 96 primary healthcare centers in Finland who participated in the study. Data on 4,633 patient encounters were abstracted, of which 3,484 were suitable for further analysis. Physicians' compliance with guidelines was high (over 80% for use of laboratory, radiology, physical examinations, and referrals). There were no significant differences in physicians' consultation practices in any of the measured outcomes between the computerized and textbook group.  Conclusion: Guidelines are a useful source of information for recently qualified physicians working in primary care. However, the method of presentation of the guidelines (electronic or paper) does not have an effect on guideline use or their impact on decisions. Other factors should be considered when choosing the method of presentation of guidelines, such as information-seeking time, ease of use during the consultation, ability to update, production costs, and the physicians' own preferences.",1,1,,84.0
17,16,A randomized trial of a computer-based intervention to reduce utilization of redundant laboratory tests,"PURPOSE: To determine the impact of giving physicians computerized reminders about apparently redundant clinical laboratory tests.  SUBJECTS AND METHODS: We performed a prospective randomized controlled trial that included all inpatients at a large teaching hospital during a 15-week period. The intervention consisted of computerized reminders at the time a test was ordered that appeared to be redundant. Main outcome measures were the proportions of clinical laboratory orders that were canceled and the proportion of the tests that were actually performed.  RESULTS: During the study period, there were 939 apparently redundant laboratory tests among the 77,609 study tests that were ordered among the intervention (n = 5,700 patients) and control (n = 5,886 patients) groups. In the intervention group, 69% (300 of 437) of tests were canceled in response to reminders. Of 137 overrides, 41% appeared to be justified based on chart review. In the control group, 51% of ordered redundant tests were performed, whereas in the intervention group only 27% of ordered redundant tests were performed (P <0.001). However, the estimated annual savings in laboratory charges was only $35,000. This occurred because only 44% of redundant tests performed had computer orders, because only half the computer orders were screened for redundancy, and because almost one-third of the reminders were overridden.  CONCLUSIONS: Reminders about orders for apparently redundant laboratory tests were effective when delivered. However, the overall effect was limited because many tests were performed without corresponding computer orders, and many orders were not screened for redundancy.",1,1,,86.0
12,11,Use of a computer to detect and respond to clinical events: its effect on clinician behavior.,"A computer was used to prospectively detect and suggest responses to simple, medication-related events as reflected in a computerized record in a prospective, randomized study of a diabetes clinic with primary-care responsibility. There were two categories of event/suggestions: when the last observation of a test required for medication control was too old, the computer suggested a repeat""; and when an abnormality with therapeutic implications was detected, the computer suggested a specific change in therapeutics. Clinicians responded to 36% of events in the first category with computer reminders and 11% without (P < 0.0001);"" they responded to 28% of events in the second category with computer assistance and 13% without (P < 0.026). For the most clinically significant of these second category events, the difference was even greater: 47% with and 4% without computer assistance (P < 0.0004). I believe that computer detection and response (in the form of reminders) to simple clinical events will change clinician behavior.",1,1,,87.0
31,30,Clinical reminders attached to echocardiography reports of patients with reduced left ventricular ejection fraction increase use of beta-blockers: a randomized trial.,"Background— Although ß-blockers are known to prolong survival for patients with reduced left ventricular ejection fraction, they are often underused. We hypothesized that a reminder attached to the echocardiography report would increase the use of ß-blockers for patients with reduced left ventricular ejection fraction.  Methods and Results— We randomized 1546 consecutive patients with a left ventricular ejection fraction <45% found on echocardiography at 1 of 3 laboratories to a reminder for use of ß-blockers or no reminder. Patients were excluded from analysis if they died within 30 days of randomization (n=89), did not receive medications through the Veterans Affairs system after 30 days (n=180), or underwent echocardiography at >1 laboratory (n=6). The primary outcome was a prescription for an oral ß-blocker between 1 and 9 months after randomization. The mean age of the 1271 included patients was 69 years; 60% had a history of heart failure, and 51% were receiving treatment with ß-blockers at the time of echocardiography. More patients randomized to the reminder had a subsequent ß-blocker prescription (74%, 458 of 621) compared with those randomized to no reminder (66%, 428 of 650;"" P=0.002). The effect of the reminder was not significantly different for subgroups based on patient location (inpatient versus outpatient) or prior use of ß-blockers.  Conclusions— A reminder attached to the echocardiography report increased the use of ß-blockers in patients with depressed left ventricular systolic function.",1,1,,92.0
23,22,Impact of non-interruptive medication laboratory monitoring alerts in ambulatory care.,"Objective: Interruptive alerts within electronic applications can cause “alert fatigue” if they fire too frequently or are clinically reasonable only some of the time. We assessed the impact of non-interruptive, real-time medication laboratory alerts on provider lab test ordering.  Design: We enrolled 22 outpatient practices into a prospective, randomized, controlled trial. Clinics either used the existing system or received on-screen recommendations for baseline laboratory tests when prescribing new medications. Since the warnings were non-interruptive, providers did not have to act upon or acknowledge the notification to complete a medication request.  Measurements: Data were collected each time providers performed suggested laboratory testing within 14 days of a new prescription order. Findings were adjusted for patient and provider characteristics as well as patient clustering within clinics.  Results: Among 12 clinics with 191 providers in the control group and 10 clinics with 175 providers in the intervention group, there were 3673 total events where baseline lab tests would have been advised: 1988 events in the control group and 1685 in the intervention group. In the control group, baseline labs were requested for 771 (39%) of the medications. In the intervention group, baseline labs were ordered by clinicians in 689 (41%) of the cases. Overall, no significant association existed between the intervention and the rate of ordering appropriate baseline laboratory tests.  Conclusion: We found that non-interruptive medication laboratory monitoring alerts were not effective in improving receipt of recommended baseline laboratory test monitoring for medications. Further work is necessary to optimize compliance with non-critical recommendations.",1,1,,95.0
25,24,"Computerized decision support to reduce potentially inappropriate prescribing to older emergency department patients: a randomized, controlled trial.","OBJECTIVES: To evaluate the effectiveness of computer-assisted decision support in reducing potentially inappropriate prescribing to older adults.  DESIGN: Randomized, controlled trial.  SETTING: An academic emergency department (ED) in Indianapolis, Indiana, where computerized physican order entry was used to write all medication prescriptions.  PARTICIPANTS: Sixty-three emergency physicians were randomized to the intervention (32 physicians) or control (31 physicians) group.  INTERVENTION: Decision support that advised against use of nine potentially inappropriate medications and recommended safer substitute therapies.  MEASUREMENTS: The primary outcome was the proportion of ED visits by seniors that resulted in one or more prescriptions for an inappropriate medication. The main secondary outcomes were the proportions of medications prescribed that were inappropriate and intervention physicians' reasons for rejecting the decision support.  RESULTS: The average age of the patients was 74, two-thirds were female, and just over half were African American. Decision support was provided 114 times to intervention physicians, who accepted 49 (43%) of the recommendations. Intervention physicians prescribed one or more inappropriate medications during 2.6% of ED visits by seniors, compared with 3.9% of visits managed by control physicians (P=.02;"" odds ratio=0.55, 95% confidence interval=0.34–0.89). The proportion of all prescribed medications that were inappropriate significantly decreased from 5.4% to 3.4%. The most common reason for rejecting decision support was that the patient had no prior problems with the medication.  CONCLUSION: Computerized physican order entry with decision support significantly reduced prescribing of potentially inappropriate medications for seniors. This approach might be used in other efforts to improve ED care.Trial Registration: Clinical trials.gov Identifier: NCT00297869.",1,1,,96.0
5,4,Oral quinolones in hospitalized patients: an evaluation of a computerized decision support intervention.,"Objective. To determine whether a computerized decision support system could increase the proportion of oral quinolone antibiotic orders placed for hospitalized patients.  Design. Prospective, interrupted time-series analysis.  Setting. University hospital in the south-eastern United States.  Subjects. Inpatient quinolone orders placed from 1 February 2001 to 31 January 2003.  Intervention. A web-based intervention was deployed as part of an existing order entry system at a university hospital on 5 February 2002. Based on an automated query of active medication and diet orders, some users ordering intravenous quinolones were presented with a suggestion to consider choosing an oral formulation.  Main outcome measure. The proportion of inpatient quinolone orders placed for oral formulations before and after deployment of the intervention.  Results. There were a total of 15 194 quinolone orders during the study period, of which 8962 (59%) were for oral forms. Orders for oral quinolones increased from 4202 (56%) before the intervention to 4760 (62%) after, without a change in total orders. In the time-series analysis, there was an overall 5.6% increase (95% CI 2.8–8.4%"";"" P < 0.001) in weekly oral quinolone orders due to the intervention, with the greatest effect on nonintensive care medical units.  Conclusions. A web-based intervention was able to increase oral quinolone orders in hospitalized patients. This is one of the first studies to demonstrate a significant effect of a computerized intervention on dosing route within an antibiotic class. This model could be applied to other antibiotics or other drug classes with good oral bioavailability.",1,1,,100.0
19,18,Design factors for success or failure of guideline-based decision support systems: an hypothesis involving case complexity,"Computer-based decision support systems (CDSSs) are currently mostly reminder systems. However, the effectiveness of such systems to modify physician behavior is not always observed. We assume that this approach is appropriate when physicians think they know how to prescribe and consider they don't need to be helped, i.e. for simple clinical cases. On the opposite, on-demand approaches allowing for flexibility in the interpretation of patient conditions are more appropriate for more complex cases, e.g. in chronic disease management. ASTI is a CDSS operating in two modes, a critiquing mode working as a reminder-based system and a user-initiated guiding mode. Using a clinical case complexity score, a pre/post-intervention experiment with 10 GPs and 15 cases of hypertensive patients has been performed. Preliminary results tend to indicate that reminder-based interaction is appropriate for simple cases and that physicians are willing to use on-demand systems as clinical situations become complex, making both modes complementary.",1,1,,105.0
16,15,Randomized clinical trial of a customized electronic alert requiring an affirmative response compared to a control group receiving a commercial passive CPOE alert: NSAID—warfarin co-prescribing as a test case.,"Background Studies that have looked at the effectiveness of computerized decision support systems to prevent drug–drug interactions have reported modest results because of low response by the providers to the automated alerts.  Objective To evaluate, within an inpatient computerized physician order entry (CPOE) system, the incremental effectiveness of an alert that required a response from the provider, intended as a stronger intervention to prevent concurrent orders of warfarin and non-steroidal anti-inflammatory drugs (NSAIDs).  Design Randomized clinical trial of 1963 clinicians assigned to either an intervention group receiving a customized electronic alert requiring affirmative response or a control group receiving a commercially available passive alert as part of the CPOE. The study duration was 2 August 2006 to 15 December 2007.  Measurements Alert adherence was compared between study groups.  Results The proportion of desired ordering responses (ie, not reordering the alert-triggering drug after firing) was lower in the intervention group (114/464 (25%) customized alerts issued) than in the control group (154/560 (28%) passive alerts firing). The adjusted OR of inappropriate ordering was 1.22 (95% CI 0.69 to 2.16).  Conclusion A customized CPOE alert that required a provider response had no effect in reducing concomitant prescribing of NSAIDs and warfarin beyond that of the commercially available passive alert received by the control group. New CPOE alerts cannot be assumed to be effective in improving prescribing, and need evaluation.",1,1,,107.0
26,25,"Computerized decision support for medication dosing in renal insufficiency: a randomized, controlled trial.","Study objective Emergency physicians prescribe several discharge medications that require dosage adjustment for patients with renal disease. The hypothesis for this research was that decision support in a computerized physician order entry system would reduce the rate of excessive medication dosing for patients with renal impairment.  Methods This was a randomized, controlled trial in an academic emergency department (ED), in which computerized physician order entry was used to write all prescriptions for patients being discharged from the ED. The sample included 42 physicians who were randomized to the intervention (21 physicians) or control (21 physicians) group. The intervention was decision support that provided dosing recommendations for targeted medications for patients aged 18 years and older when the patient's estimated creatinine clearance level was below the threshold for dosage adjustment. The primary outcome was the proportion of targeted medications that were excessively dosed.  Results For 2,783 (46%) of the 6,015 patient visits, the decision support had sufficient information to estimate the patient's creatinine clearance level. The average age of these patients was 46 years, 1,768 (64%) were women, and 1,523 (55%) were black. Decision support was provided 73 times to physicians in the intervention group, who excessively dosed 31 (43%) prescriptions. In comparison, control physicians excessively dosed a significantly larger proportion of medications: 34 of 46, 74% (effect size=31%; 95% confidence interval 14% to 49%;"" P=.001).  Conclusion Emergency physicians often prescribed excessive doses of medications that require dosage adjustment for renal impairment. Computerized physician order entry with decision support significantly reduced excessive dosing of targeted medications.",1,1,,109.0
27,26,A computerized intervention to decrease the use of calcium channel blockers in hypertension.,"Objective To determine whether a computer-assisted reminder would alter prescribing habits for the treatment of hypertension in accordance with current clinical guidelines in a general internal medicine clinic.  Design A randomized trial.  Setting The General Internal Medicine Clinic of the Veterans Affairs Puget Sound Health Care System, Seattle Division.  Patients/Participants Clinic providers were randomized to a control group (n=35) or intervention group (n=36). We targeted the providers of patients being treated for hypertension with calcium channel blockers, a class of drug not recommended for initial therapy.  Intervention An automated computer query identified eligible patients and their providers. A guideline reminder was placed in the charts of patients of intervention providers"";"" the charts of patients of control providers received no reminder.  Measurements and main results During the 5-month study period, 346 patients were seen by the 36 primary care providers (staff physicians, nurse practitioners, residents, and fellows) in the intervention group, and 373 patients were seen by the 35 providers in the control group. Intervention providers changed 39 patients (11.3%) to other medications during the study period, compared with 1 patient (<1.0%) of control providers (p<.0001). For patients whose therapy was unchanged, providers noted angina in 23.1%, indications other than those for hypertension in 9.5%, intolerable adverse effects with first-line therapy in 13.9%, and inadequte control with first-line therapy in 13.9%. Of those patients without provider-indicated contraindications, 23.6% were switched from calcium channel blockers to first-line agents during the intervention period.  Conclusions The use of a computerized, clinic-based intervention increased compliance with guidelines in the treatment of primary hypertension in general, and decreased the use of calcium channel blockers for the treatment of hypertension in particular.",1,1,,112.0
15,14,Electronic alerts versus on-demand decision support to improve dyslipidemia treatment: a cluster randomized controlled trial,"BACKGROUND: Indirect evidence shows that alerting users with clinical decision support systems seems to change behavior more than requiring users to actively initiate the system. However, randomized trials comparing these methods in a clinical setting are lacking. We studied the effect of both alerting and on-demand decision support with respect to screening and treatment of dyslipidemia based on the guidelines of the Dutch College of General Practitioners. METHODS AND RESULTS: In a clustered randomized trial design, 38 Dutch general practices (77 physicians) and 87,886 of their patients (39,433 men 18 to 70 years of age and 48,453 women 18 to 75 years of age) who used the ELIAS electronic health record participated. Each practice was assigned to receive alerts, on-demand support, or no intervention. We measured the percentage of patients screened and treated after 12 months of follow-up. In the alerting group, 65% of the patients requiring screening were screened (relative risk versus control=1.76""; 95% confidence interval, 1.41 to 2.20) compared with 35% of patients in the on-demand group (relative risk versus control=1.28; 95% confidence interval, 0.98 to 1.68) and 25% of patients in the control group. In the alerting group, 66% of patients requiring treatment were treated (relative risk versus control=1.40; 95% confidence interval, 1.15 to 1.70) compared with 40% of patients (relative risk versus control=1.19;"" 95% confidence interval, 0.94 to 1.50) in the on-demand group and 36% of patients in the control group. CONCLUSIONS: The alerting version of the clinical decision support systems significantly improved screening and treatment performance for dyslipidemia by general practitioners.",1,1,,114.0
